customer_id,first_name,last_name,age_group,gender,region,income_bracket,customer_segment
10001,Charles,Cantu,26-35,Male,West,200k+,Retail Banking
10002,Danielle,Bradley,36-45,Male,East,100-200k,Corporate
10003,Brittany,Bryan,36-45,Male,South,200k+,Retail Banking
10004,Amanda,Austin,60+,Male,West,200k+,Retail Banking
10005,Richard,Griffith,36-45,Male,North,<50k,Retail Banking
10006,Michelle,Dillon,18-25,Other,West,<50k,Retail Banking
10007,Rachel,Ward,36-45,Female,North,100-200k,Corporate
10008,Michael,Rangel,26-35,Female,North,50-100k,Priority
10009,Priscilla,Aguirre,60+,Male,South,100-200k,Priority
10010,Danielle,Moore,18-25,Male,North,100-200k,Corporate
10011,Eric,Miller,26-35,Male,North,200k+,Retail Banking
10012,Jennifer,Mills,46-60,Other,South,50-100k,Corporate
10013,Joseph,Mercado,36-45,Female,North,200k+,Corporate
10014,James,Ochoa,26-35,Female,West,100-200k,Retail Banking
10015,Rebekah,Montgomery,26-35,Male,North,100-200k,Retail Banking
10016,Caitlyn,Smith,36-45,Other,West,100-200k,Corporate
10017,Laura,Thomas,26-35,Female,North,<50k,Priority
10018,Julie,Carter,46-60,Female,East,50-100k,Corporate
10019,Marcus,Mitchell,26-35,Male,East,<50k,Priority
10020,William,Ramirez,60+,Female,East,<50k,Priority
10021,Toni,Young,36-45,Other,South,50-100k,Priority
10022,Lori,Murphy,60+,Other,South,50-100k,Priority
10023,Amy,Rogers,18-25,Female,East,<50k,Retail Banking
10024,Joshua,Wilson,18-25,Male,North,200k+,Priority
10025,Johnny,Evans,60+,Other,North,200k+,Priority
10026,Erin,Burke,26-35,Other,North,<50k,Priority
10027,Jade,Thompson,36-45,Female,North,<50k,Corporate
10028,John,Hall,46-60,Male,South,50-100k,Priority
10029,Paul,Reyes,18-25,Female,South,100-200k,Priority
10030,Lindsey,James,60+,Male,South,100-200k,Corporate
10031,Stephen,Becker,46-60,Other,West,100-200k,Corporate
10032,Tristan,Powell,46-60,Female,West,200k+,Priority
10033,Philip,Ryan,18-25,Other,West,50-100k,Priority
10034,Michelle,Carroll,36-45,Female,South,50-100k,Priority
10035,Alex,Hernandez,26-35,Male,West,200k+,Retail Banking
10036,Alicia,Raymond,26-35,Male,South,200k+,Retail Banking
10037,Eric,Allen,26-35,Female,East,100-200k,Corporate
10038,Kelli,Hanna,46-60,Other,South,50-100k,Corporate
10039,Susan,Chang,46-60,Other,East,100-200k,Corporate
10040,Joseph,Jackson,46-60,Male,South,50-100k,Priority
10041,Daniel,Vasquez,46-60,Male,West,<50k,Retail Banking
10042,Peter,Martin,46-60,Female,South,50-100k,Priority
10043,Jeremy,Jenkins,46-60,Other,East,<50k,Priority
10044,Laura,Calhoun,36-45,Male,West,<50k,Corporate
10045,Patricia,Kerr,46-60,Other,North,50-100k,Corporate
10046,Natalie,Patrick,46-60,Other,West,200k+,Corporate
10047,Samuel,Stout,36-45,Male,North,200k+,Priority
10048,Joseph,Crawford,26-35,Female,West,<50k,Priority
10049,Karen,Lee,18-25,Female,South,50-100k,Retail Banking
10050,Eric,Hunter,18-25,Female,South,100-200k,Corporate
10051,Jessica,Baker,36-45,Other,South,50-100k,Priority
10052,Mitchell,Navarro,36-45,Male,West,100-200k,Priority
10053,Amy,Delgado,18-25,Female,South,50-100k,Retail Banking
10054,Derrick,Zuniga,36-45,Female,East,<50k,Retail Banking
10055,Kyle,Foster,60+,Female,North,200k+,Priority
10056,Michael,Cook,18-25,Other,North,100-200k,Corporate
10057,Sylvia,Goodman,18-25,Female,West,50-100k,Retail Banking
